Service Name;Max resource criticality;Min resiurce criticality;Confidentiality;Availability;Integrity;Vulnerable (no money for updates);Internet access;Number of ussers;Portion of users;Highload;General info;Confidential info;Personal data;Domain auth;2FA availability;Support;License presence;Third party access to the resources;Access control possible;Bruteforce available;Admin tool;File share;Active Directory;Web;OS;Thick client;ssh;rdp;web;mount;Number of dependent services;Number of influencing services;Max resource criticality in dependent services;Max resource criticality in influencing services;Number of open ports;Number of projects
Service 1;1;0;1;1;1;0;0;12;1,78%;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;2;0
Service 2;1;0,5;1;1;0;0;1;25;3,71%;3;0;1;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;57
Service 3;1;0;1;1;1;0;1;674;100,00%;5;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;0;0;1;0;1;2;1;1;2;0
Service 4;1;1;1;1;1;0;0;50;7,42%;2;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;2;57
Service 5;0,5;0,5;1;1;1;0;0;40;5,93%;2;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;2;57
Service 6;1;1;1;1;0;0;0;43;6,38%;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0,5;0;2;57
Service 7;0,5;0;0;0;1;0;1;473;70,18%;3;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;1;0
Service 8;0,5;0;0;1;1;0;1;44;6,53%;2;1;1;0;1;1;0;1;0;1;1;1;0;1;1;1;0;1;0;1;0;1;2;1;1;6;57
Service 9;0;0;0;0;0;0;1;82;12,17%;1;1;0;0;1;0;0;0;1;0;1;1;0;1;1;1;0;1;0;1;0;0;1;0;0,5;2;0
Service 10;0,5;0;1;0;1;0;0;8;1,19%;5;0;1;0;1;0;0;0;0;0;1;1;0;1;1;1;0;1;0;1;0;0;20;0;1;9;0
Service 11;1;0;1;1;1;0;1;512;75,96%;3;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;0;2;2
Service 12;0,5;0;0;0;1;0;1;37;5,49%;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;57
Service 13;0,5;0;0;0;0;0;1;16;2,37%;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
Service 14;0,5;0;1;1;0;0;0;10;1,48%;2;0;1;0;1;0;0;0;0;0;1;1;0;1;1;1;0;1;0;1;0;1;0;0,5;0;2;0
Service 15;0,5;0;1;0;0;0;0;614;91,10%;4;1;1;0;1;0;0;0;0;0;1;1;0;1;1;1;0;1;0;1;0;1;0;0;0;2;0
Service 16;1;0,5;1;1;1;1;0;552;81,90%;5;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;7;5;1;1;47;62
Service 17;1;0,5;1;1;1;1;0;79;11,72%;3;1;1;1;0;0;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;1;0;1;9;62
Service 18;1;0,5;1;1;1;1;0;7;1,04%;4;1;1;0;0;0;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;1;0;1;3;62
Service 19;1;1;1;1;1;1;0;160;23,74%;4;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;57
Service 20;1;1;1;1;0;0;0;43;6,38%;3;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;2;57
Service 21;1;1;1;1;0;0;0;43;6,38%;2;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;2;57
Service 22;1;1;1;1;1;1;0;153;22,70%;4;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;1;0;6;2;1;1;14;57
Service 23;1;1;1;1;1;0;0;17;2,52%;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;2;0
Service 24;0,5;0;1;1;0;1;0;28;4,15%;1;0;1;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;2;0
Service 25;0,5;0;1;0;1;0;1;540;80,12%;5;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;4;0
Service 26;0;0;0;0;0;1;0;22;3,26%;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;1;0
Service 27;1;0,5;1;0;1;0;0;47;6,97%;4;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;3;57
Service 28;0,5;0;1;0;1;0;0;20;2,97%;2;1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;3;57
Service 29;0,5;0;0;1;0;0;0;385;57,12%;4;1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;3;0
Service 30;0,5;0,5;1;0;0;0;0;5;0,74%;1;0;1;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;3;57
