Users;Department;Position;Local admin privileges;Domain admin privileges;Service admin;Development and admin tools available;OS;AV protection;Posession of data on security and administration;Key business role;Internet access;Confidential information;Science and technology information;Production info;Management info;Financial info;Market info;Price info;Partner info;Security management info;Personal data;ÄÑÏ (rus);24 x 7 working hours;High performance applications;Interactions with external IS;Electronic eternal information exchange;Initial qualification;Number of projects;Project 6;Project 21;Project 27;Project 33;Project 41;Project 44;Project 46;Project 47;Project 49;Project 60
User 1;Department 53;Position 219;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 2;Department 13;Position 209;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 3;Department 19;Position 37;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 4;Department 40;Position 124;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 5;Department 12;Position 71;1;0;1;1;1;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;admin;0;0;0;0;0;0;0;0;0;0;0
User 6;Department 37;Position 119;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 7;Department 48;Position 139;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 8;Department 47;Position 187;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 9;Department 28;Position 56;0;0;0;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 10;Department 44;Position 42;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 11;Department 27;Position 240;0;0;0;0;1;1;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 12;Department 27;Position 240;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 13;Department 47;Position 161;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 14;Department 53;Position 108;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 15;Department 32;Position 9;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;28;0;1;1;0;0;0;0;0;0;0
User 16;Department 16;Position 118;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;user;0;0;0;0;0;0;0;0;0;0;0
User 17;Department 4;Position 224;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
